record_date,dim_time_id,project_id,language_id,timezone_id,calls_off,calls_ans,calls_wsl,calls_abn,calls_a30,time_talk,time_hold,time_wrap,queue_ans,queue_max
2017-Aug-01 00:00:00,1,Acosta_ServiceDesk,English,US/Eastern,2,2,2,0,0,1455,0,88,18,12
2017-Aug-01 00:00:00,1,Amcor,English,US/Eastern,1,1,1,0,0,229,0,60,8,8
2017-Aug-01 00:00:00,1,BCGA,English,US/Central,3,3,3,0,0,3144,0,251,24,12
2017-Aug-01 00:00:00,1,Covance,Chinese Mandarin,US/Central,3,3,3,0,0,1066,0,19,18,8
2017-Aug-01 00:00:00,1,Covance,English,US/Central,1,1,1,0,0,13,0,25,7,7
2017-Aug-01 00:00:00,1,Covance,Japanese,US/Central,1,1,1,0,0,213,0,7,7,7
2017-Aug-01 00:00:00,1,DeVry_Stefanini,English,US/Central,2,2,2,0,0,2998,177,120,11,8
2017-Aug-01 00:00:00,1,Epsilon,English,US/Central,1,1,1,0,0,310,0,60,6,6
2017-Aug-01 00:00:00,1,Huron_Consulting_Group,English,US/Central,1,1,1,0,0,702,5,6,4,4
2017-Aug-01 00:00:00,1,MasterCard,English,US/Eastern,1,1,1,0,0,56,0,60,13,13
2017-Aug-01 00:00:00,2,Acosta_ServiceDesk,English,US/Eastern,1,1,1,0,0,1219,0,21,9,9
2017-Aug-01 00:00:00,2,BCGA,English,US/Central,1,1,1,0,0,174,0,120,6,6
2017-Aug-01 00:00:00,2,CEC,English,US/Central,2,2,2,0,0,1384,259,120,7,4
2017-Aug-01 00:00:00,2,Covance,Chinese Mandarin,US/Central,3,3,3,0,0,682,0,15,17,6
2017-Aug-01 00:00:00,2,Covance,English,US/Central,5,5,5,0,0,3299,191,87,34,14
2017-Aug-01 00:00:00,2,DeVry_Stefanini,English,US/Central,1,1,1,0,0,173,0,60,5,5
2017-Aug-01 00:00:00,2,Epsilon,English,US/Central,1,1,1,0,0,942,0,12,14,14
2017-Aug-01 00:00:00,2,Novelis,English,US/Eastern,1,1,1,0,0,13,0,60,3,3
2017-Aug-01 00:00:00,2,Novelis,Korean,US/Eastern,2,2,2,0,0,510,0,74,20,10
